date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,merged
2014-06-04,2014,6,4,56.15,52.15,1011.4,8.6,6.4,10.95,999.9,64.65,52.35,0,999.9,1,1
2014-03-29,2014,3,29,44.65,42.15,1021.6,4.8,9.8,17.1,24.95,51.45,37.4,0.02,999.9,1,1
2014-03-30,2014,3,30,46.6,45.75,1001.5,2.15,13.15,21,30.05,55.4,38.65,1.22,999.9,1,1
2014-06-03,2014,6,3,59.75,49.5,1016.6,10,8.4,16.05,22,70.35,47.55,0,999.9,0,1
2014-03-04,2014,3,4,21.85,7.3,1025.5,10,7.25,11.55,999.9,30.1,14.8,0,999.9,0,1
2014-04-02,2014,4,2,41.3,26.25,1019.1,10,6.9,12.05,19,49,29.3,0,999.9,0,1
2014-04-05,2014,4,5,44.9,39.75,1008.7,7.4,11.5,17.45,25.55,51.8,40.1,0.03,999.9,0,1
2014-05-12,2014,5,12,60.55,45.05,1018.5,9.9,7.8,16,22.55,75.3,47.65,0.23,999.9,0,1
2014-03-15,2014,3,15,42.35,34.1,1011.5,9.1,13.3,18.45,23.5,48.4,34.9,0,999.9,0,1
2014-03-26,2014,3,26,30.05,19.2,1001.4,4.35,25.65,35.05,55.55,33,26.6,0,999.9,1,1
2014-06-07,2014,6,7,66.15,54.6,1012.5,9.95,7.3,12.5,999.9,75.45,56.2,0,999.9,0,1
2014-05-14,2014,5,14,51.55,44.8,1026.5,10,8.15,13.05,15.9,60.8,44.8,0,999.9,0,1
2014-05-30,2014,5,30,49.45,42,1019.4,9.95,4.5,9.9,13,60.25,38.3,0,999.9,0,1
2014-03-06,2014,3,6,25.25,13.85,1032.2,8.9,13.2,18.5,24.5,28.4,21.1,0,999.9,0,1
2014-04-26,2014,4,26,45,37.9,1009.1,8.85,10.45,14.6,21.55,50.7,43.35,0,999.9,0,1
2014-05-05,2014,5,5,53.45,40.9,1005.8,9.9,9.35,15.55,24.45,60,48.1,0,999.9,0,1
2014-05-09,2014,5,9,52.7,46.85,1022.6,8.9,5.6,12.55,999.9,56.55,46.4,0,999.9,1,1
2014-04-08,2014,4,8,48.55,47.1,1003.5,2.5,14.9,22.9,31.45,55.5,45.25,0.7,999.9,1,1
2014-05-04,2014,5,4,52.9,42.35,1005.1,9.8,12.6,24,31.95,59.8,47.55,0.02,999.9,0,1
2014-03-02,2014,3,2,34.3,28.45,1018.5,9.45,7.2,13.05,21,38.65,31.45,0,999.9,0,1
2014-05-08,2014,5,8,52.5,43.35,1022.3,9.8,7.3,13.5,20,63.25,44.4,0,999.9,0,1
2014-03-13,2014,3,13,31.95,27.5,990.4,4.45,14.1,21.95,29.4,50.9,20.2,0.6,999.9,0,1
2014-03-19,2014,3,19,33,22.95,1025.6,10,7.95,14,19.5,42.45,23.25,0,999.9,0,1
2014-05-11,2014,5,11,60.2,50.3,1013.2,8.95,11.45,20,25.55,68.8,54.25,0.24,999.9,0,1
2014-03-12,2014,3,12,43.7,37.15,1002.2,8,8.75,21.6,31.45,53.6,34.45,0,999.9,0,1
2014-05-10,2014,5,10,57.85,53,1015.2,8,11.85,15.55,22.55,62.95,53.6,0,999.9,0,1
2014-03-14,2014,3,14,24.15,8.15,1018.4,10,13.4,19.5,28.45,35.35,16.5,0.03,999.9,0,1
2014-04-03,2014,4,3,40.1,29.8,1018.5,9.3,7,16.5,20,49.45,29.85,0,999.9,0,1
2014-03-27,2014,3,27,27.5,4.55,1022.3,10,17.6,24.1,35.95,31.2,23.9,0,999.9,0,1
2014-03-18,2014,3,18,24.8,14,1023.7,10,6.75,14,17.5,36.3,15.1,0,999.9,0,1
2014-04-04,2014,4,4,39.7,30.05,1019.1,10,6.65,14.5,19.5,49,32.55,0,999.9,0,1
2014-02-28,2014,2,28,19.2,-1.15,1020.5,9.7,11.95,23.05,30.95,26.4,11.3,0,999.9,0,1
2014-05-01,2014,5,1,50.9,49.7,1016.6,3.1,13.5,19.55,27,58.1,43.45,0.35,999.9,1,1
2014-03-17,2014,3,17,27.55,10.15,1018.8,10,10.5,15.05,19.55,34.6,22.65,0,999.9,0,1
2014-04-01,2014,4,1,37.6,29.05,1015.3,9.55,14.95,23.5,34.95,43.7,34.7,0.03,999.9,0,1
2014-05-31,2014,5,31,56.25,46.65,1019.1,10,13.35,21.6,29.5,60.8,52.6,0,999.9,0,1
2014-04-25,2014,4,25,49.2,29.9,1013.4,10,9.65,13.5,21.45,54.4,44.7,0,999.9,0,1
2014-03-20,2014,3,20,42.75,38.05,1009.6,6.85,13.1,21.45,28,48.9,36.3,0.4,999.9,1,1
2014-06-05,2014,6,5,59.4,58,1006.3,4.9,6.45,17,29.55,63.3,55.4,0.01,999.9,1,1
2014-03-28,2014,3,28,42.75,35.95,1023.4,9.1,14.9,26.05,34.95,52.6,33,0,999.9,0,1
2014-06-09,2014,6,9,64.1,57.2,1015.2,8.55,6.1,10.5,15,71.6,57,0,999.9,1,1
2014-06-10,2014,6,10,65.2,62,1015.8,9.15,6.8,13.95,27,69.25,61.8,0.03,999.9,0,1
2014-05-07,2014,5,7,54.65,35.85,1019.8,10,7.45,11.55,17.1,61.35,48,0,999.9,0,1
2014-05-03,2014,5,3,52.45,40.3,1010.3,9.3,6.6,14.45,21,63.6,38.3,0.01,999.9,0,1
2014-04-28,2014,4,28,45.7,36.95,1016.1,10,11.5,17.95,25.55,52.8,39.2,0.01,999.9,0,1
2014-04-29,2014,4,29,44.3,36.35,1028.1,9.9,15.05,20.5,28,51.15,41.55,0,999.9,0,1
2014-04-30,2014,4,30,43.05,36.6,1030.7,9.45,11.25,15.45,21.55,47.1,41,0.01,999.9,0,1
2014-03-05,2014,3,5,28.3,17.05,1024.3,9.4,6.15,16.5,23,34,24,0,999.9,0,1
2014-05-13,2014,5,13,52.6,44.25,1022,10,13.25,20.5,27,58.9,46.65,0,999.9,0,1
2014-03-11,2014,3,11,42.4,33.75,1002.9,8.15,7,10.95,16.55,52.15,32.9,0,999.9,0,1
2014-05-06,2014,5,6,51.65,39.55,1011.1,9.8,4.75,12.05,22.9,61.7,43.05,0.01,999.9,0,1
2014-03-16,2014,3,16,35.1,15.6,1016.5,10,10.4,18.05,25.05,41.9,30.75,0,999.9,0,1
2014-04-07,2014,4,7,42.7,31.95,1022.6,10,6.4,13.5,20.05,52.15,33.55,0,999.9,0,1
2014-05-02,2014,5,2,52.95,45,1006.4,6.25,8.85,18,28,63.6,46.4,0.21,999.9,1,1
2014-06-08,2014,6,8,67.2,55.95,1013.2,9.9,4.45,8.45,11.1,79.7,54.75,0,999.9,0,1
2014-04-06,2014,4,6,41.15,24.95,1017.6,10,11.05,17.1,21.95,47.55,34.45,0,999.9,0,1
2014-03-01,2014,3,1,21.95,10.6,1029.1,10,5.1,13.5,20,35.35,8.5,0,999.9,0,1
2014-03-03,2014,3,3,23.9,12.1,1017.2,7.45,9.4,19.05,26.55,27.5,20.2,0,999.9,0,1
2014-06-06,2014,6,6,61.85,55,1007.8,9.55,8.8,13.95,20,72.15,53.6,2.21,999.9,0,1